Country_Code,ICAO_Code,Category_Code,Description,Latitude,Longitude
ZA,FAAB,AD,Alexander Bay,-28.57331667,16.53433611
ZA,FABM,AD,Bethlehem,-28.24861111,28.33611111
ZA,FABW,AD,Karoo Gateway,-32.3,22.66666667
ZA,FACF,AD,St Francis Field,-34.18777778,24.83166667
ZA,FAFO,AD,Fort Beaufort,-32.79078197,26.57738517
ZA,FAGC,AD,Grand Central,-25.98706667,28.14054722
ZA,FAGY,AD,Greytown,-29.12151944,30.58725556
ZA,FAHG,AD,Heidelberg,-26.50776111,28.39101111
ZA,FAHL,AD,Hluhluwe,-28.01388889,32.275
ZA,FALY,AD,Ladysmith,-28.57991389,29.75273889
ZA,FAMG,AD,Margate,-30.85736667,30.34302778
ZA,FAMJ,AD,Majuba Power Station,-27.08305556,29.785
ZA,FAMN,AD,Malelane,-25.47333333,31.56555556
ZA,FANC,AD,Newcastle,-27.77277778,29.97638889
ZA,FAOH,AD,Oudtshoorn,-33.6,22.18333333
ZA,FAPA,AD,Port Alfred,-33.56038333,26.87796667
ZA,FAPF,AD,Piet Retief,-27.00222222,30.84388889
ZA,FAPG,AD,Plettenberg Bay,-34.08815833,23.32861667
ZA,FAPH,AD,Phalaborwa,-23.93607778,31.15509444
ZA,FAPL,AD,Pongola,-27.36161389,31.605525
ZA,FAPS,AD,Potchefstroom,-26.66829167,27.08410833
ZA,FARB,AD,Richardsbay,-28.74018056,32.09338333
ZA,FASC,AD,Secunda,-26.52055556,29.17222222
ZA,FASS,AD,Sishen,-27.65,23
ZA,FASZ,AD,Skukuza,-24.96132222,31.588825
ZA,FATF,AD,Tommy's Field,-28.26666667,23
ZA,FATT,AD,Tutuka Power Station,-26.77855646,29.33839964
ZA,FATW,AD,Tswalu Game Reserve,-27.20280556,22.48083333
ZA,FATZ,AD,Tzaneen,-23.83,30.31666667
ZA,FAUL,AD,Ulundi,-28.31947222,31.41705556
ZA,FAVM,AD,Venetia Mine,-22.44898056,29.33501667
ZA,FAVV,AD,Vereeniging,-26.575,27.9625
ZA,FAWI,AD,Witbank,-25.83377778,29.192625
ZA,FAAG,AD,Aggeneys,-29.27916667,18.8175
ZA,FAAN,AD,Aliwal North,-30.68333333,26.73333333
ZA,FAAP,AD,Aviators Paradise,-25.69388889,27.7825
ZA,FABA,AD,Microland Flight Park,-25.97508333,28.38774722
ZA,FABB,AD,Brakpan Benoni,-26.23805556,28.30583333
ZA,FABD,AD,Burgersdorp,-30.98333333,26.3
ZA,FABS,AD,Brits,-25.5325,27.77583333
ZA,FACN,AD,Carnavon,-30.99166667,22.13333333
ZA,FACO,AD,Alkantpan,-29.90648611,22.31658333
ZA,FACV,AD,Calvinia,-31.50027778,19.72583333
ZA,FADA,AD,De Aar,-30.69153056,24.02420278
ZA,FADB,AD,Dwaalboom,-24.80722222,26.82972222
ZA,FADL,AD,Delareyville,-26.6814906,25.47377793
ZA,FAEC,AD,Umtshezi Municipality,-29.04734167,29.91064167
ZA,FAEM,AD,Empangeni,-28.71854444,31.89265556
ZA,FAEO,AD,Ermelo,-26.5,29.98333333
ZA,FAFB,AD,Ficksburg Sentraoes,-28.825,27.90859444
ZA,FAFK,AD,Fisantekraal,-33.77138889,18.74
ZA,FAFW,AD,Freeway,-25.47722222,28.29
ZA,FAGL,AD,Groblersdal,-25.18676667,29.40329167
ZA,FAGR,AD,Graaff-Reinet,-32.194825,24.54115556
ZA,FAGT,AD,Grahamstown,-33.28333333,26.5
ZA,FAHC,AD,Howick,-29.55277778,30.21111111
ZA,FAHI,AD,Halfweg,-30.01333333,20.13916667
ZA,FAHJ,AD,Harding,-30.56666667,29.88333333
ZA,FAHR,AD,Harrismith,-28.23333333,29.1
ZA,FAHV,AD,Gariep Dam,-30.56219167,25.52991389
ZA,FAKD,AD,Klerksdorp / P.C. Pelser,-26.86666667,26.71666667
ZA,FAKR,AD,Krugersdorp,-26.08164722,27.72567778
ZA,FAKS,AD,Kroonstad,-27.66666667,27.31666667
ZA,FAKT,AD,Boschkop (Kitty Hawk Aero Estate),-25.86166667,28.44694444
ZA,FAKU,AD,Kuruman,-27.45939855,23.41189427
ZA,FAKZ,AD,Kleinsee,-29.68296944,17.09307778
ZA,FALI,AD,Lichtenburg,-26.16666667,26.18333333
ZA,FALL,AD,Lydenburg,-25.07916667,30.42555556
ZA,FALO,AD,Louis Trichardt,-23.06225004,29.86480198
ZA,FAMB,AD,Middelburg,-25.68566944,29.44055
ZA,FAMC,AD,Middelburg (Cape),-31.54722222,25.02944444
ZA,FAMD,AD,Malamala,-24.81758333,31.54471389
ZA,FAMI,AD,Marble Hall,-24.99166667,29.28333333
ZA,FAMO,AD,Mosselbay,-34.15694444,22.06138889
ZA,FAMS,AD,Morningside Farm,-25.69722222,26.91138889
ZA,FAMU,AD,Mkuzi,-27.63333333,32.05
ZA,FANS,AD,Nelspruit,-25.502225,30.91181667
ZA,FAOI,AD,Orient,-26.03972222,27.59416667
ZA,FAPI,AD,Pietersburg (Civil),-23.92605556,29.48436111
ZA,FAPK,AD,Prieska,-29.68370556,22.77060278
ZA,FAPT,AD,Postmasburg,-28.33333333,23.08333333
ZA,FAPX,AD,Paradise Beach,-34.10277778,24.88277778
ZA,FAPY,AD,Parys,-26.88720556,27.50530833
ZA,FAPZ,AD,Progress,-33.92526111,25.37222222
ZA,FAQT,AD,Queenstown,-31.91666667,26.88333333
ZA,FARA,AD,Petit,-26.085,28.39038889
ZA,FARG,AD,Rustenburg,-25.64444444,27.27111111
ZA,FARI,AD,Reivilo,-27.55416667,24.16666667
ZA,FARS,AD,Robertson,-33.81083333,19.91
ZA,FASB,AD,Springbok,-29.68944444,17.93888889
ZA,FASD,AD,Saldanha - Vredenburg,-32.96333333,17.97
ZA,FASE,AD,SABI-SABI,-24.94151389,31.4446
ZA,FASG,AD,Schweizer Reneke,-27.16393387,25.28658483
ZA,FASH,AD,Stellenbosch,-33.98055556,18.82277778
ZA,FASI,AD,Springs,-26.25,28.4
ZA,FASW,AD,Slurry,-25.81666667,25.88333333
ZA,FASX,AD,Swellendam,-34.05,20.48333333
ZA,FATA,AD,Tedderfield Air Park,-26.35166667,27.96916667
ZA,FATG,AD,Thaba Tholo Game Farm,-24.28111111,27.22944444
ZA,FATP,AD,New Tempe,-29.03271389,26.15800556
ZA,FAUH,AD,Uitenhage,-33.78333333,25.38333333
ZA,FAVR,AD,Vredendal,-31.64148056,18.54407222
ZA,FAVW,AD,Victory West,-31.4,23.15
ZA,FAWA,AD,Warmbaths,-24.90805556,28.30444444
ZA,FAWC,AD,Worcester,-33.66666667,19.41666667
ZA,FAWL,AD,Williston,-31.38333333,20.93333333
ZA,FAWM,AD,Welkom,-27.99800833,26.66955556
ZA,FAHS,AD,Hoedspruit,-24.35462083,31.0504
ZA,FALM,AD,Makhado,-23.15945278,29.70150278
