Code,Description,Abbreviation,Grouping,Group_Colour
AA,Minimum altitude (specify en-route/crossing/safe),mnm alt,Airspace / ATC,#33cc33
AC,Control zone,ctr,Airspace / ATC,#33cc33
AD,Air defence identification zone,adiz,Airspace / ATC,#33cc33
AE,Control area,cta,Airspace / ATC,#33cc33
AF,Flight information region,fir,Airspace / ATC,#33cc33
AH,Upper control area,uta,Airspace / ATC,#33cc33
AL,Minimum usable flight level,mnm usable fl,Airspace / ATC,#33cc33
AN,Area navigation route,rnav rte,Airspace / ATC,#33cc33
AO,Oceanic control area,oca,Airspace / ATC,#33cc33
AP,Reporting point (specify name or coded designator),rep,Airspace / ATC,#33cc33
AR,ATS route (specify),ats rte,Airspace / ATC,#33cc33
AT,Terminal control area,tma,Airspace / ATC,#33cc33
AU,Upper flight information region,uir,Airspace / ATC,#33cc33
AV,Upper advisory area,uda,Airspace / ATC,#33cc33
AX,Significant point,sig,Airspace / ATC,#33cc33
AZ,Aerodrome traffic zone,atz,Airspace / ATC,#33cc33
CA,Air/ground facility (specify service and frequency),a/g fac,Airspace / ATC,#33cc33
CB,Automatic dependent surveillance — broadcast (details),ads-b,Airspace / ATC,#33cc33
CC,Automatic dependent surveillance — contract (details),ads-c,Airspace / ATC,#33cc33
CD,Controller-pilot data link communications (details),cpdlc,Airspace / ATC,#33cc33
CE,En-route surveillance radar,rsr,Airspace / ATC,#33cc33
CG,Ground controlled approach system,gca,Airspace / ATC,#33cc33
CL,Selective calling system,selcal,Airspace / ATC,#33cc33
CM,Surface movement radar,smr,Airspace / ATC,#33cc33
CP,Precision approach radar (specify runway),par,Airspace / ATC,#33cc33
CR,Surveillance radar element of precision approach radar system (specify wavelength),sre,Airspace / ATC,#33cc33
CS,Secondary surveillance radar,ssr,Airspace / ATC,#33cc33
CT,Terminal area surveillance radar,tar,Airspace / ATC,#33cc33
FA,Aerodrome,ad,Aerodromes,#1a66ff
FB,Friction measuring device (specify type),friction measuring device,Aerodromes,#1a66ff
FC,Ceiling measurement equipment,ceiling measurement eqpt,Aerodromes,#1a66ff
FD,"Docking system (specify AGNIS, BOLDS, etc.)",dckg system,Aerodromes,#1a66ff
FE,Oxygen (specify type),oxygen,Aerodromes,#1a66ff
FF,Firefighting and rescue,fire and rescue,Aerodromes,#1a66ff
FG,Ground movement control,gnd mov ctl,Aerodromes,#1a66ff
FH,Helicopter alighting area/platform,hel alighting area,Aerodromes,#1a66ff
FI,Aircraft de-icing (specify),acft de-ice,Aerodromes,#1a66ff
FJ,Oils (specify type),oil,Aerodromes,#1a66ff
FL,Landing direction indicator,ldi,Aerodromes,#1a66ff
FM,Meteorological service (specify type),met,Aerodromes,#1a66ff
FO,Fog dispersal system,fg dispersal,Aerodromes,#1a66ff
FP,Heliport,heliport,Aerodromes,#1a66ff
FS,Snow removal equipment,sn removal eqpt,Aerodromes,#1a66ff
FT,"Transmissometer (specify runway and, where applicable, designator(s) of transmissometer(s))",transmissometer,Aerodromes,#1a66ff
FU,Fuel availability,fuel avbl,Aerodromes,#1a66ff
FW,Wind direction indicator,wdi,Aerodromes,#1a66ff
FZ,Customs/immigration,cust/immigration,Aerodromes,#1a66ff
GA,GNSS airfield-specific operations (specify operation),gnss airfield,Aerodromes,#1a66ff
GW,GNSS area-wide operations (specify operation),gnss area,Aerodromes,#1a66ff
IC,Instrument landing system (specify runway),ils,Aerodromes,#1a66ff
ID,DME associated with ILS,ils dme,Aerodromes,#1a66ff
IG,Glide path (ILS) (specify runway),ils gp,Aerodromes,#1a66ff
II,Inner marker (ILS) (specify runway),ils im,Aerodromes,#1a66ff
IL,Localizer (ILS) (specify runway),ils llz,Aerodromes,#1a66ff
IM,Middle marker (ILS) (specify runway),ils mm,Aerodromes,#1a66ff
IN,Localizer (not associated with ILS),llz,Aerodromes,#1a66ff
IO,Outer marker (ILS) (specify runway),ils om,Aerodromes,#1a66ff
IS,ILS Category I (specify runway),ils cat I,Aerodromes,#1a66ff
IT,ILS Category II (specify runway),ils cat II,Aerodromes,#1a66ff
IU,ILS Category III (specify runway),ils cat III,Aerodromes,#1a66ff
IW,Microwave landing system (specify runway),mls,Aerodromes,#1a66ff
IX,"Locator, outer (ILS) (specify runway)",ils lo,Aerodromes,#1a66ff
IY,"Locator, middle (ILS) (specify runway)",ils lm,Aerodromes,#1a66ff
LA,Approach lighting system (specify runway and type),als,Aerodromes,#1a66ff
LB,Aerodrome beacon,abn,Aerodromes,#1a66ff
LC,Runway centre line lights (specify runway),rcll,Aerodromes,#1a66ff
LD,Landing direction indicator lights,ldi lgt,Aerodromes,#1a66ff
LE,Runway edge lights (specify runway),redl,Aerodromes,#1a66ff
LF,Sequenced flashing lights (specify runway) sequenced,flg lgt,Aerodromes,#1a66ff
LG,Pilot-controlled lighting,pcl,Aerodromes,#1a66ff
LH,High intensity runway lights (specify runway),high intst rwy lgt,Aerodromes,#1a66ff
LI,Runway end identifier lights (specify runway),rwy end id lgt,Aerodromes,#1a66ff
LJ,Runway alignment indicator lights (specify runway),rai lgt,Aerodromes,#1a66ff
LK,Category II components of approach lighting system (specify runway),cat II components als,Aerodromes,#1a66ff
LL,Low intensity runway lights (specify runway),low intst rwy lgt,Aerodromes,#1a66ff
LM,Medium intensity runway lights (specify runway),medium intst rwy lgt,Aerodromes,#1a66ff
LP,Precision approach path indicator (specify runway),papi,Aerodromes,#1a66ff
LR,All landing area lighting facilities,ldg area lgt fac,Aerodromes,#1a66ff
LS,Stopway lights (specify runway),stwl,Aerodromes,#1a66ff
LT,Threshold lights (specify runway),thr lgt,Aerodromes,#1a66ff
LU,Helicopter approach path indicator,hapi,Aerodromes,#1a66ff
LV,Visual approach slope indicator system (specify type and runway),vasis,Aerodromes,#1a66ff
LW,Heliport lighting,heliport lgt,Aerodromes,#1a66ff
LX,Taxiway centre line lights (specify taxiway),twy cl lgt,Aerodromes,#1a66ff
LY,Taxiway edge lights (specify taxiway),twy edge lgt,Aerodromes,#1a66ff
LZ,Runway touchdown zone lights (specify runway),rtzl,Aerodromes,#1a66ff
MA,Movement area,mov area,Aerodromes,#1a66ff
MB,Bearing strength (specify part of landing area or movement area),bearing strength,Aerodromes,#1a66ff
MC,Clearway (specify runway),cwy,Aerodromes,#1a66ff
MD,Declared distances (specify runway),declared dist,Aerodromes,#1a66ff
MG,Taxiing guidance system,tgs,Aerodromes,#1a66ff
MH,Runway arresting gear (specify runway),rag,Aerodromes,#1a66ff
MK,Parking area,prkg area,Aerodromes,#1a66ff
MM,"Daylight markings (specify threshold, centre line, etc.)",day markings,Aerodromes,#1a66ff
MN,Apron,apron,Aerodromes,#1a66ff
MO,Stopbar (specify taxiway),stopbar,Aerodromes,#1a66ff
MP,Aircraft stands (specify),acft stand,Aerodromes,#1a66ff
MR,Runway (specify runway),rwy,Aerodromes,#1a66ff
MS,Stopway (specify runway),swy,Aerodromes,#1a66ff
MT,Threshold (specify runway),thr,Aerodromes,#1a66ff
MU,Runway turning bay (specify runway),rwy turning bay,Aerodromes,#1a66ff
MW,Strip/shoulder (specify runway),strip/shoulder,Aerodromes,#1a66ff
MX,Taxiway(s) (specify),twy,Aerodromes,#1a66ff
MY,Rapid exit taxiway (specify),rapid exit twy,Aerodromes,#1a66ff
NA,All radio navigation facilities (except . . .),all rdo nav fac,Navigation Aids,#33cc33
NB,Non-directional radio beacon,ndb,Navigation Aids,#33cc33
NC,DECCA,decca,Navigation Aids,#33cc33
ND,Distance measuring equipment,dme,Navigation Aids,#33cc33
NF,Fan marker,fan mkr,Navigation Aids,#33cc33
NL,Locator (specify identification),loc,Navigation Aids,#33cc33
NM,VOR/DME,vor/dme,Navigation Aids,#33cc33
NN,TACAN,tacan,Navigation Aids,#33cc33
NO,OMEGA,omega,Navigation Aids,#33cc33
NT,VORTAC,vortac,Navigation Aids,#33cc33
NV,VOR,vor,Navigation Aids,#33cc33
NX,Direction-finding station (specify type and frequency),df,Navigation Aids,#33cc33
OA,Aeronautical information service,ais,Miscellaneous,#ffff4d
OB,Obstacle (specify details),obst,Hazards / Obstacles,#ff4000
OE,Aircraft entry requirements,acft entry rqmnts,Miscellaneous,#ff00ff
OL,Obstacle lights on . . . (specify),obst lgt,Hazards / Obstacles,#ff4000
OR,Rescue coordination centre,rcc,Miscellaneous,#ff00ff
PA,Standard instrument arrival (specify route designator),star,Aerodromes,#1a66ff
PB,Standard VFR arrival,std vfr arr,Aerodromes,#1a66ff
